time,x,y,z
21.15,-712045.55734498,3005796.85565119,1622708.59267339
21.2,-712296.647742316,3005628.53445515,1622750.07971562
21.25,-712547.736030482,3005460.20594263,1622791.56257952
21.3,-712798.822341567,3005291.86995452,1622833.04129106
21.35,-713049.906670994,3005123.5264647,1622874.51585965
21.4,-713300.989135705,3004955.17540138,1622915.98638136
21.45,-713552.070020699,3004786.81660378,1622957.45281444
21.5,-713803.149080989,3004618.45020784,1622998.91510975
21.55,-714054.225864734,3004450.07653913,1623040.37322423
21.6,-714305.300882799,3004281.695228,1623081.82727542
21.65,-714556.37416984,3004113.30622329,1623123.27729836
21.7,-714807.445635748,3003944.90965422,1623164.72320564
21.75,-715058.51485583,3003776.50560618,1623206.16513899
21.8,-715309.58249919,3003608.09382196,1623247.60293302
21.85,-715560.648065476,3003439.6745083,1623289.03665048
21.9,-715811.711039661,3003271.24798863,1623330.46622174
21.95,-716062.7731989,3003102.81319486,1623371.89181566
22,-716313.833214073,3002934.37094638,1623413.31345598
22.05,-716564.891238811,3002765.92120508,1623454.73091763
22.1,-716815.947016025,3002597.46418707,1623496.14419118
22.15,-717067.001267547,3002428.99935551,1623537.55343093
22.2,-717318.05365582,3002260.52696932,1623578.95860487
22.25,-717569.103924739,3002092.04718891,1623620.35957076
22.3,-717820.152742119,3001923.55954238,1623661.75646062
22.35,-718071.199594932,3001755.06439501,1623703.14921074
22.4,-718322.244311155,3001586.56186394,1623744.53778309
22.45,-718573.287255841,3001418.05177438,1623785.92224264
22.5,-718824.328464554,3001249.53403153,1623827.30265036
22.55,-719075.367517453,3001081.00891615,1623868.67887806
22.6,-719326.405318464,3000912.47581029,1623910.05107675
22.65,-719577.440315714,3000743.93573066,1623951.41901529
22.7,-719828.474345272,3000575.3875504,1623992.78295631
22.75,-720079.505806576,3000406.83231686,1624034.14265183
22.8,-720330.535851399,3000238.2691974,1624075.49828359
22.85,-720581.56391873,3000069.69856743,1624116.84974739
22.9,-720832.589887333,2999901.12049425,1624158.19701602
22.95,-721083.613971811,2999732.53494592,1624199.54015251
23,-721334.636284165,2999563.94177167,1624240.87923771
23.05,-721585.657042747,2999395.34079541,1624282.21421719
23.1,-721836.675931537,2999226.73223329,1624323.54504395
23.15,-722087.692204494,2999058.11666384,1624364.87159294
23.2,-722338.706780971,2998889.49342771,1624406.19405073
23.25,-722589.720089825,2998720.86220676,1624447.51250576
23.3,-722840.730707173,2998552.22393279,1624488.8266867
23.35,-723091.740393209,2998383.5775356,1624530.13685083
23.4,-723342.74698985,2998214.92438282,1624571.44268499
23.45,-723593.752460239,2998046.2631308,1624612.74458171
23.5,-723844.755892678,2997877.59442278,1624654.04228735
23.55,-724095.757570583,2997708.91814796,1624695.33584971
23.6,-724346.756874828,2997540.23460691,1624736.62517148
23.65,-724597.754223076,2997371.5435201,1624777.91031738
23.7,-724848.750366111,2997202.8444921,1624819.19149773
23.75,-725099.743905585,2997034.13835939,1624860.46840433
23.8,-725350.736478758,2996865.42403385,1624901.74131505
23.85,-725601.726243885,2996696.70281391,1624943.00990213
23.9,-725852.714314205,2996527.97392536,1624984.27435958
23.95,-726103.700373474,2996359.23750077,1625025.53474436
24,-726354.684885378,2996190.49331154,1625066.79101019
24.05,-726605.66717446,2996021.74181655,1625108.0430496
24.1,-726856.648091888,2995852.98238815,1625149.29101917
24.15,-727107.626382765,2995684.21592836,1625190.53471731
24.2,-727358.603231708,2995515.44161101,1625231.77440715
24.25,-727609.57784572,2995346.65992997,1625273.00986829
24.3,-727860.550630399,2995177.87072453,1625314.24115771
24.35,-728111.521679066,2995009.07381525,1625355.46830599
24.4,-728362.490227434,2994840.26978174,1625396.69124193
24.45,-728613.457795915,2994671.45758215,1625437.91020687
24.5,-728864.422591257,2994502.63837534,1625479.12485517
24.55,-729115.385811449,2994333.81145022,1625520.33537491
24.6,-729366.347046693,2994164.97701664,1625561.54175052
24.65,-729617.3062374,2993996.13512262,1625602.74399812
24.7,-729868.26348747,2993827.28571559,1625643.94205899
24.75,-730119.219324454,2993658.42838917,1625685.13602262
24.8,-730370.172535871,2993489.56405216,1625726.32571643
24.85,-730621.124150503,2993320.69189577,1625767.51136823
24.9,-730872.073566607,2993151.8124458,1625808.69279004
24.95,-731123.021430779,2992982.92518352,1625849.87009322
25,-731373.967019526,2992814.03066926,1625891.04314893
25.05,-731624.9105814,2992645.1286487,1625932.2120387
25.1,-731875.852807433,2992476.21868413,1625973.37691576
